HEADER_TIME_STAMP,SR
2018-06-14 14:24:47.215,51.000
2018-06-14 14:24:48.235,51.000
2018-06-14 14:24:49.255,51.000
2018-06-14 14:24:50.255,50.000
2018-06-14 14:24:51.255,50.000
2018-06-14 14:24:52.255,50.000
2018-06-14 14:24:53.275,51.000
2018-06-14 14:24:54.294,51.000
2018-06-14 14:24:55.294,50.000
2018-06-14 14:24:56.295,50.000
2018-06-14 14:24:57.315,51.000
2018-06-14 14:24:58.315,50.000
2018-06-14 14:24:59.315,50.000
2018-06-14 14:25:00.334,51.000
2018-06-14 14:25:01.334,50.000
2018-06-14 14:25:02.335,50.000
2018-06-14 14:25:03.336,50.000
2018-06-14 14:25:04.354,51.000
2018-06-14 14:25:05.355,50.000
2018-06-14 14:25:06.375,51.000
2018-06-14 14:25:07.375,50.000
2018-06-14 14:25:08.395,51.000
2018-06-14 14:25:09.395,50.000
2018-06-14 14:25:10.395,50.000
2018-06-14 14:25:11.395,50.000
2018-06-14 14:25:12.415,51.000
2018-06-14 14:25:13.435,51.000
2018-06-14 14:25:14.455,51.000
2018-06-14 14:25:15.455,50.000
2018-06-14 14:25:16.455,50.000
2018-06-14 14:25:17.475,51.000
2018-06-14 14:25:18.475,50.000
2018-06-14 14:25:19.494,51.000
2018-06-14 14:25:20.494,50.000
2018-06-14 14:25:21.494,50.000
2018-06-14 14:25:22.494,50.000
2018-06-14 14:25:23.494,50.000
2018-06-14 14:25:24.494,50.000
2018-06-14 14:25:25.495,50.000
2018-06-14 14:25:26.514,51.000
2018-06-14 14:25:27.514,50.000
2018-06-14 14:25:28.515,50.000
2018-06-14 14:25:29.535,51.000
2018-06-14 14:25:30.535,50.000
2018-06-14 14:25:31.554,51.000
2018-06-14 14:25:32.554,50.000
2018-06-14 14:25:33.555,50.000
2018-06-14 14:25:34.555,50.000
2018-06-14 14:25:35.575,51.000
2018-06-14 14:25:36.595,51.000
2018-06-14 14:25:37.614,51.000
2018-06-14 14:25:38.614,50.000
2018-06-14 14:25:39.615,50.000
2018-06-14 14:25:40.615,50.000
2018-06-14 14:25:41.615,50.000
2018-06-14 14:25:42.615,50.000
2018-06-14 14:25:43.615,50.000
2018-06-14 14:25:44.635,51.000
2018-06-14 14:25:45.655,51.000
2018-06-14 14:25:46.655,50.000
2018-06-14 14:25:47.655,50.000
2018-06-14 14:25:48.675,51.000
2018-06-14 14:25:49.675,50.000
2018-06-14 14:25:50.675,50.000
2018-06-14 14:25:51.675,50.000
2018-06-14 14:25:52.675,50.000
2018-06-14 14:25:53.675,50.000
2018-06-14 14:25:54.675,50.000
2018-06-14 14:25:55.675,50.000
2018-06-14 14:25:56.675,50.000
2018-06-14 14:25:57.675,50.000
2018-06-14 14:25:58.675,50.000
2018-06-14 14:25:59.695,51.000
2018-06-14 14:26:00.715,51.000
2018-06-14 14:26:01.715,50.000
2018-06-14 14:26:02.734,51.000
2018-06-14 14:26:03.734,50.000
2018-06-14 14:26:04.734,50.000
2018-06-14 14:26:05.734,50.000
2018-06-14 14:26:06.735,50.000
2018-06-14 14:26:07.735,50.000
2018-06-14 14:26:08.735,50.000
2018-06-14 14:26:09.735,50.000
2018-06-14 14:26:10.754,51.000
2018-06-14 14:26:11.754,50.000
2018-06-14 14:26:12.756,50.000
2018-06-14 14:26:13.774,51.000
2018-06-14 14:26:14.775,50.000
2018-06-14 14:26:15.775,50.000
2018-06-14 14:26:16.775,50.000
2018-06-14 14:26:17.775,50.000
2018-06-14 14:26:18.775,50.000
2018-06-14 14:26:19.775,50.000
2018-06-14 14:26:20.795,51.000
2018-06-14 14:26:21.795,50.000
2018-06-14 14:26:22.815,51.000
2018-06-14 14:26:23.815,50.000
2018-06-14 14:26:24.834,51.000
2018-06-14 14:26:25.834,50.000
2018-06-14 14:26:26.835,50.000
2018-06-14 14:26:27.835,50.000
2018-06-14 14:26:28.855,51.000
2018-06-14 14:26:29.875,51.000
2018-06-14 14:26:30.895,51.000
2018-06-14 14:26:31.895,50.000
2018-06-14 14:26:32.915,51.000
