"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
43265.6220833333,44490,1.4,2,542,1.266667E-03,1973
43265.622099537,44504,1.1,2,543,.00115,990
43265.6221122685,44515,1.4,2,544,1.266667E-03,1303
43265.6221284722,44529,1,2,545,1.111111E-03,1525
43265.6221400463,44539,1.4,2,546,1.266667E-03,1270
43265.62215625,44553,1,2,547,1.111111E-03,1291
43265.6221678241,44563,1.4,2,548,1.266667E-03,1697
43265.6221840278,44577,1.6,2,549,1.344444E-03,1898
43265.6222025463,44593,1.5,2,550,1.305556E-03,1728
43265.6222199074,44608,2,2,551,.0015,2506
43265.6222430556,44628,1.9,2,552,1.461111E-03,1677
43265.6222650463,44647,1.4,2,553,1.266667E-03,1985
43265.62228125,44661,1.1,2,554,.00115,875
43265.6222939815,44672,1.4,2,555,1.266667E-03,1745
43265.6223101852,44686,1.1,2,556,.00115,1102
43265.6223229167,44697,1.4,2,557,1.266667E-03,1426
43265.6223391204,44711,1,2,558,1.111111E-03,1536
43265.6223506944,44721,.9,2,559,1.072222E-03,584
43265.6223611111,44730,2,2,560,.0015,2542
43265.6223842593,44750,2.5,2,561,1.694444E-03,2744
43265.6224131944,44775,2.5,2,562,1.694444E-03,2654
43265.6224421296,44800,1.5,2,563,1.305556E-03,1298
43265.6224594907,44815,2,2,564,.0015,2622
43265.6224826389,44835,2.9,2,565,.00185,3204
43265.6225162037,44864,2.5,2,566,1.694444E-03,2772
43265.6225451389,44889,2.9,2,567,.00185,3200
43265.6225787037,44918,1.1,2,568,.00115,1010
43265.6225914352,44929,1.4,2,569,1.266667E-03,1788
43265.6226076389,44943,1.1,2,570,.00115,1348
43265.6226203704,44954,1.4,2,571,1.266667E-03,1201
43265.6226365741,44968,1.4,2,572,1.266667E-03,2071
43265.6226527778,44982,2.5,2,573,1.694444E-03,2407
43265.622681713,45007,1.5,2,574,1.305556E-03,1593
43265.6226990741,45022,2.8,2,575,1.811111E-03,3388
43265.6227314815,45050,.9,2,576,1.072222E-03,775
43265.6227418982,45059,1.6,2,577,1.344444E-03,1660
43265.6227604167,45075,1.4,2,578,1.266667E-03,2045
43265.6227766204,45089,.9,2,579,1.072222E-03,471
43265.622787037,45098,1,2,580,1.111111E-03,984
43265.6227986111,45108,1,2,581,1.111111E-03,1511
43265.6228101852,45118,1,2,582,1.111111E-03,1238
43265.6228217593,45128,1.4,2,583,1.266667E-03,832
43265.622837963,45142,1,2,584,1.111111E-03,1312
43265.622849537,45152,.9,2,585,1.072222E-03,1384
43265.6228599537,45161,1.1,2,586,.00115,852
43265.6228726852,45172,1.4,2,587,1.266667E-03,1492
43265.6228888889,45186,1,2,588,1.111111E-03,1562
43265.622900463,45196,.9,2,589,1.072222E-03,596
43265.6229108796,45205,1,2,590,1.111111E-03,1033
43265.6229224537,45215,1,2,591,1.111111E-03,1511
43265.6229340278,45225,.9,2,592,1.072222E-03,691
43265.6229444444,45234,1.1,2,593,.00115,1019
43265.6229571759,45245,.9,2,594,1.072222E-03,1321
43265.6229675926,45254,1.1,2,595,.00115,1375
43265.6229803241,45265,1.4,2,596,1.266667E-03,1047
43265.6229965278,45279,1.4,2,597,1.266667E-03,2075
43265.6230127315,45293,.9,2,598,1.072222E-03,558
43265.6230231481,45302,1.5,2,599,1.305556E-03,1654
43265.6230405093,45317,1.6,2,600,1.344444E-03,1856
43265.6230590278,45333,2.8,2,601,1.811111E-03,3376
43265.6230914352,45361,3.9,2,602,2.238889E-03,4306
43265.6231365741,45400,2.9,2,603,.00185,3144
43265.6231701389,45429,1.5,2,604,1.305556E-03,1425
43265.6231875,45444,2.4,2,605,1.655556E-03,3123
43265.6232152778,45468,.9,2,606,1.072222E-03,508
43265.6232256944,45477,1,2,607,1.111111E-03,1069
43265.6232372685,45487,1,2,608,1.111111E-03,1469
43265.6232488426,45497,1,2,609,1.111111E-03,1394
43265.6232604167,45507,.9,2,610,1.072222E-03,576
43265.6232708333,45516,1,2,611,1.111111E-03,1031
43265.6232824074,45526,1.4,2,612,1.266667E-03,2095
43265.6232986111,45540,.9,2,613,1.072222E-03,769
43265.6233090278,45549,1.6,2,614,1.344444E-03,1727
43265.6233275463,45565,1,2,615,1.111111E-03,1550
43265.6233391204,45575,.9,2,616,1.072222E-03,630
43265.623349537,45584,1,2,617,1.111111E-03,1007
43265.6233611111,45594,1.4,2,618,1.266667E-03,2003
43265.6233773148,45608,1.1,2,619,.00115,841
43265.6233900463,45619,1.4,2,620,1.266667E-03,1619
43265.62340625,45633,1,2,621,1.111111E-03,1520
43265.6234178241,45643,1.5,2,622,1.305556E-03,1127
43265.6234351852,45658,1.4,2,623,1.266667E-03,2047
43265.6234513889,45672,1.5,2,624,1.305556E-03,1075
43265.62346875,45687,1.4,2,625,1.266667E-03,1983
43265.6234849537,45701,1.1,2,626,.00115,809
43265.6234976852,45712,1.4,2,627,1.266667E-03,1568
43265.6235138889,45726,1,2,628,1.111111E-03,1553
43265.623525463,45736,1.5,2,629,1.305556E-03,1117
43265.6235428241,45751,1.4,2,630,1.266667E-03,2051
43265.6235590278,45765,.9,2,631,1.072222E-03,531
43265.6235694444,45774,1.6,2,632,1.344444E-03,1931
43265.623587963,45790,.9,2,633,1.072222E-03,733
43265.6235983796,45799,1.6,2,634,1.344444E-03,2039
43265.6236168981,45815,2.1,2,635,1.538889E-03,2262
43265.6236412037,45836,1.5,2,636,1.305556E-03,1399
43265.6236585648,45851,.9,2,637,1.072222E-03,1084
43265.6236689815,45860,.8,1,637,3.111111E-04,769
43265.6236782407,45868,164.5,0,637,5.711805E-02,3142
43265.6255821759,47513,51.8,1,637,2.014444E-02,402
43265.626181713,48031,7.8,1,638,3.033333E-03,46401
