HEADER_TIME_STAMP,X,Y,Z,HZ
2018-06-14 14:25:32.115,0.123,-0.283,0.982,1
2018-06-14 14:25:32.134,0.179,-0.256,0.943,1
2018-06-14 14:25:32.154,0.248,-0.251,0.950,1
2018-06-14 14:25:32.175,0.330,-0.148,0.988,1
2018-06-14 14:25:32.194,0.228,-0.188,0.909,1
2018-06-14 14:25:32.214,0.331,-0.069,1.037,1
2018-06-14 14:25:32.235,0.317,-0.088,1.146,1
2018-06-14 14:25:32.254,0.326,-0.023,1.086,1
2018-06-14 14:25:32.274,0.328,0.029,1.087,1
2018-06-14 14:25:32.294,0.323,-0.030,1.005,1
2018-06-14 14:25:32.314,0.272,0.031,1.025,1
2018-06-14 14:25:32.335,0.316,0.146,0.961,1
2018-06-14 14:25:32.355,0.205,0.225,1.045,1
2018-06-14 14:25:32.374,0.314,0.164,1.052,1
2018-06-14 14:25:32.395,0.234,0.193,1.021,1
2018-06-14 14:25:32.415,0.156,0.216,1.009,1
2018-06-14 14:25:32.434,0.115,0.241,1.018,1
2018-06-14 14:25:32.455,0.062,0.276,0.989,1
2018-06-14 14:25:32.475,0.095,0.277,0.962,1
2018-06-14 14:25:32.494,0.057,0.310,0.994,1
2018-06-14 14:25:32.515,-0.032,0.283,1.000,1
2018-06-14 14:25:32.535,-0.081,0.265,0.954,1
2018-06-14 14:25:32.554,-0.137,0.333,0.962,1
2018-06-14 14:25:32.574,-0.191,0.208,0.943,1
2018-06-14 14:25:32.594,-0.172,0.280,1.004,1
2018-06-14 14:25:32.614,-0.198,0.220,0.967,1
2018-06-14 14:25:32.635,-0.234,0.194,0.984,1
2018-06-14 14:25:32.654,-0.242,0.175,0.976,1
2018-06-14 14:25:32.675,-0.250,0.179,0.992,1
2018-06-14 14:25:32.694,-0.308,0.115,1.056,1
2018-06-14 14:25:32.715,-0.296,0.084,0.980,1
2018-06-14 14:25:32.734,-0.324,0.055,0.985,1
2018-06-14 14:25:32.755,-0.299,0.036,0.904,1
2018-06-14 14:25:32.775,-0.352,-0.014,1.023,1
2018-06-14 14:25:32.794,-0.272,-0.084,1.052,1
2018-06-14 14:25:32.815,-0.314,-0.103,1.000,1
2018-06-14 14:25:32.835,-0.327,-0.125,0.997,1
2018-06-14 14:25:32.854,-0.355,-0.104,1.028,1
2018-06-14 14:25:32.875,-0.331,-0.213,1.129,1
2018-06-14 14:25:32.895,-0.265,-0.269,1.063,1
2018-06-14 14:25:32.914,-0.219,-0.277,1.056,1
2018-06-14 14:25:32.935,-0.136,-0.302,0.935,1
2018-06-14 14:25:32.955,-0.092,-0.358,1.020,1
2018-06-14 14:25:32.974,-0.094,-0.322,1.015,1
2018-06-14 14:25:32.994,0.053,-0.333,1.008,1
2018-06-14 14:25:33.015,-0.046,-0.339,1.036,1
2018-06-14 14:25:33.035,-0.041,-0.314,1.007,1
2018-06-14 14:25:33.054,0.017,-0.338,0.991,1
2018-06-14 14:25:33.075,0.123,-0.309,0.956,1
2018-06-14 14:25:33.094,0.191,-0.282,1.033,1
2018-06-14 14:25:33.114,0.244,-0.241,0.994,1
2018-06-14 14:25:33.135,0.268,-0.208,0.981,1
2018-06-14 14:25:33.155,0.291,-0.259,0.975,1
2018-06-14 14:25:33.175,0.284,-0.176,1.062,1
2018-06-14 14:25:33.194,0.261,-0.182,1.027,1
2018-06-14 14:25:33.214,0.267,-0.210,0.994,1
2018-06-14 14:25:33.235,0.310,-0.132,1.006,1
2018-06-14 14:25:33.255,0.293,0.021,1.053,1
2018-06-14 14:25:33.274,0.306,0.093,1.080,1
2018-06-14 14:25:33.295,0.280,0.071,0.983,1
2018-06-14 14:25:33.315,0.273,0.121,1.008,1
2018-06-14 14:25:33.335,0.286,0.082,0.980,1
2018-06-14 14:25:33.355,0.232,0.185,1.035,1
2018-06-14 14:25:33.375,0.266,0.162,1.019,1
2018-06-14 14:25:33.395,0.333,0.142,1.025,1
2018-06-14 14:25:33.415,0.249,0.206,1.040,1
2018-06-14 14:25:33.435,0.081,0.286,0.949,1
2018-06-14 14:25:33.454,0.062,0.310,0.955,1
2018-06-14 14:25:33.474,0.021,0.344,0.992,1
2018-06-14 14:25:33.495,-0.004,0.295,0.955,1
2018-06-14 14:25:33.514,-0.038,0.328,0.999,1
2018-06-14 14:25:33.534,-0.085,0.289,0.997,1
2018-06-14 14:25:33.555,-0.097,0.269,0.981,1
2018-06-14 14:25:33.575,-0.090,0.309,0.950,1
2018-06-14 14:25:33.596,-0.116,0.329,1.043,1
2018-06-14 14:25:33.615,-0.136,0.291,1.007,1
2018-06-14 14:25:33.634,-0.242,0.177,0.965,1
2018-06-14 14:25:33.655,-0.268,0.164,0.978,1
2018-06-14 14:25:33.675,-0.294,0.106,1.003,1
2018-06-14 14:25:33.694,-0.326,0.114,1.014,1
2018-06-14 14:25:33.714,-0.306,0.055,0.999,1
2018-06-14 14:25:33.734,-0.294,-0.002,0.949,1
2018-06-14 14:25:33.754,-0.312,0.115,0.977,1
2018-06-14 14:25:33.774,-0.367,0.041,1.019,1
2018-06-14 14:25:33.794,-0.390,-0.050,1.086,1
2018-06-14 14:25:33.814,-0.306,-0.122,0.986,1
2018-06-14 14:25:33.834,-0.271,-0.200,0.920,1
2018-06-14 14:25:33.855,-0.269,-0.249,0.986,1
2018-06-14 14:25:33.875,-0.244,-0.205,0.945,1
2018-06-14 14:25:33.894,-0.184,-0.298,1.070,1
2018-06-14 14:25:33.915,-0.129,-0.299,0.949,1
2018-06-14 14:25:33.934,-0.255,-0.245,0.965,1
2018-06-14 14:25:33.954,-0.191,-0.291,0.899,1
2018-06-14 14:25:33.974,-0.095,-0.328,0.923,1
2018-06-14 14:25:33.994,0.028,-0.356,1.031,1
2018-06-14 14:25:34.015,0.041,-0.318,0.987,1
2018-06-14 14:25:34.035,0.044,-0.315,1.001,1
2018-06-14 14:25:34.057,0.076,-0.329,0.978,1
2018-06-14 14:25:34.075,0.110,-0.309,0.997,1
2018-06-14 14:25:34.094,0.182,-0.266,0.989,1
2018-06-14 14:25:34.114,0.158,-0.291,1.007,1
2018-06-14 14:25:34.134,0.209,-0.255,0.989,1
2018-06-14 14:25:34.154,0.197,-0.243,0.967,1
2018-06-14 14:25:34.174,0.256,-0.153,1.038,1
2018-06-14 14:25:34.194,0.277,-0.149,0.981,1
2018-06-14 14:25:34.215,0.318,-0.094,0.969,1
2018-06-14 14:25:34.234,0.277,-0.016,0.926,1
2018-06-14 14:25:34.255,0.321,0.034,0.949,1
2018-06-14 14:25:34.275,0.310,0.064,0.997,1
2018-06-14 14:25:34.294,0.305,0.027,0.906,1
2018-06-14 14:25:34.314,0.360,-0.012,0.967,1
2018-06-14 14:25:34.335,0.259,0.038,0.989,1
2018-06-14 14:25:34.354,0.242,0.203,1.015,1
2018-06-14 14:25:34.375,0.227,0.212,1.013,1
2018-06-14 14:25:34.394,0.207,0.259,0.962,1
2018-06-14 14:25:34.414,0.211,0.243,1.005,1
2018-06-14 14:25:34.435,0.113,0.242,0.973,1
2018-06-14 14:25:34.455,0.118,0.279,0.953,1
2018-06-14 14:25:34.475,0.116,0.300,0.991,1
2018-06-14 14:25:34.495,0.077,0.340,1.030,1
2018-06-14 14:25:34.515,0.023,0.317,1.008,1
2018-06-14 14:25:34.535,-0.124,0.274,0.933,1
2018-06-14 14:25:34.555,-0.116,0.283,1.007,1
2018-06-14 14:25:34.575,-0.173,0.268,0.983,1
2018-06-14 14:25:34.594,-0.222,0.225,0.951,1
2018-06-14 14:25:34.614,-0.209,0.238,0.985,1
2018-06-14 14:25:34.635,-0.247,0.185,0.971,1
2018-06-14 14:25:34.654,-0.261,0.139,0.985,1
2018-06-14 14:25:34.675,-0.252,0.155,0.934,1
2018-06-14 14:25:34.694,-0.299,0.130,0.952,1
2018-06-14 14:25:34.714,-0.322,0.023,0.968,1
2018-06-14 14:25:34.735,-0.327,-0.038,0.982,1
2018-06-14 14:25:34.755,-0.313,-0.026,0.930,1
2018-06-14 14:25:34.774,-0.295,-0.077,0.906,1
2018-06-14 14:25:34.794,-0.289,-0.120,0.973,1
2018-06-14 14:25:34.815,-0.259,-0.164,0.922,1
2018-06-14 14:25:34.834,-0.222,-0.177,0.927,1
2018-06-14 14:25:34.855,-0.262,-0.178,0.889,1
2018-06-14 14:25:34.875,-0.255,-0.235,1.005,1
2018-06-14 14:25:34.894,-0.208,-0.271,1.087,1
2018-06-14 14:25:34.915,-0.162,-0.304,1.008,1
2018-06-14 14:25:34.935,-0.103,-0.312,0.966,1
2018-06-14 14:25:34.954,-0.080,-0.330,0.987,1
2018-06-14 14:25:34.975,-0.093,-0.303,0.938,1
2018-06-14 14:25:34.994,-0.025,-0.341,0.994,1
2018-06-14 14:25:35.014,0.057,-0.311,1.026,1
2018-06-14 14:25:35.035,-0.048,-0.366,0.910,1
2018-06-14 14:25:35.055,0.010,-0.359,1.015,1
2018-06-14 14:25:35.074,0.103,-0.356,0.981,1
2018-06-14 14:25:35.094,0.166,-0.291,0.994,1
2018-06-14 14:25:35.115,0.214,-0.264,1.026,1
2018-06-14 14:25:35.134,0.288,-0.189,1.027,1
2018-06-14 14:25:35.154,0.202,-0.187,1.029,1
2018-06-14 14:25:35.175,0.287,-0.112,0.987,1
2018-06-14 14:25:35.194,0.322,-0.049,1.022,1
2018-06-14 14:25:35.214,0.308,-0.114,1.070,1
2018-06-14 14:25:35.235,0.295,-0.093,0.968,1
2018-06-14 14:25:35.254,0.322,0.022,0.959,1
2018-06-14 14:25:35.275,0.285,0.071,0.995,1
2018-06-14 14:25:35.294,0.227,0.056,1.042,1
2018-06-14 14:25:35.314,0.264,0.092,0.974,1
2018-06-14 14:25:35.335,0.308,0.028,0.996,1
2018-06-14 14:25:35.355,0.206,0.181,0.978,1
2018-06-14 14:25:35.375,0.178,0.245,0.965,1
2018-06-14 14:25:35.394,0.225,0.251,1.016,1
2018-06-14 14:25:35.415,0.266,0.229,1.073,1
2018-06-14 14:25:35.434,0.162,0.226,1.069,1
2018-06-14 14:25:35.455,0.098,0.273,1.050,1
2018-06-14 14:25:35.475,-0.013,0.267,1.008,1
2018-06-14 14:25:35.494,-0.025,0.275,0.985,1
2018-06-14 14:25:35.515,0.016,0.290,1.027,1
2018-06-14 14:25:35.535,-0.134,0.251,0.969,1
2018-06-14 14:25:35.554,-0.136,0.292,0.944,1
2018-06-14 14:25:35.575,-0.203,0.252,0.983,1
2018-06-14 14:25:35.594,-0.146,0.241,0.943,1
2018-06-14 14:25:35.614,-0.246,0.265,1.036,1
2018-06-14 14:25:35.634,-0.234,0.163,0.914,1
2018-06-14 14:25:35.655,-0.329,0.156,1.005,1
2018-06-14 14:25:35.674,-0.249,0.113,0.866,1
2018-06-14 14:25:35.694,-0.327,0.119,1.022,1
2018-06-14 14:25:35.715,-0.298,0.042,0.965,1
2018-06-14 14:25:35.734,-0.353,0.013,1.056,1
2018-06-14 14:25:35.755,-0.299,-0.022,0.886,1
2018-06-14 14:25:35.775,-0.341,0.006,0.874,1
2018-06-14 14:25:35.794,-0.308,-0.170,0.955,1
2018-06-14 14:25:35.815,-0.285,-0.187,1.012,1
2018-06-14 14:25:35.835,-0.280,-0.158,0.988,1
2018-06-14 14:25:35.854,-0.260,-0.268,1.004,1
2018-06-14 14:25:35.875,-0.249,-0.195,0.961,1
2018-06-14 14:25:35.895,-0.226,-0.232,0.990,1
2018-06-14 14:25:35.914,-0.154,-0.291,1.064,1
2018-06-14 14:25:35.935,-0.121,-0.319,1.074,1
2018-06-14 14:25:35.955,-0.165,-0.315,1.014,1
2018-06-14 14:25:35.974,-0.065,-0.339,0.969,1
2018-06-14 14:25:35.995,0.014,-0.370,1.034,1
2018-06-14 14:25:36.015,0.065,-0.307,0.998,1
2018-06-14 14:25:36.034,0.053,-0.303,0.949,1
2018-06-14 14:25:36.055,-0.038,-0.340,0.954,1
2018-06-14 14:25:36.075,0.087,-0.372,1.017,1
2018-06-14 14:25:36.094,0.171,-0.311,0.992,1
2018-06-14 14:25:36.115,0.280,-0.216,0.985,1
2018-06-14 14:25:36.135,0.231,-0.266,1.042,1
2018-06-14 14:25:36.154,0.332,-0.208,0.949,1
2018-06-14 14:25:36.175,0.332,-0.158,0.991,1
2018-06-14 14:25:36.195,0.308,-0.112,1.007,1
2018-06-14 14:25:36.214,0.328,-0.058,1.056,1
2018-06-14 14:25:36.235,0.302,-0.044,1.022,1
2018-06-14 14:25:36.255,0.317,-0.009,1.008,1
2018-06-14 14:25:36.274,0.316,0.030,1.016,1
2018-06-14 14:25:36.294,0.297,0.121,0.994,1
2018-06-14 14:25:36.315,0.244,0.142,0.989,1
2018-06-14 14:25:36.334,0.293,0.100,0.949,1
2018-06-14 14:25:36.354,0.230,0.134,0.958,1
2018-06-14 14:25:36.375,0.199,0.201,0.986,1
2018-06-14 14:25:36.394,0.136,0.251,0.991,1
2018-06-14 14:25:36.414,0.156,0.260,0.980,1
2018-06-14 14:25:36.435,0.241,0.235,0.993,1
2018-06-14 14:25:36.454,0.066,0.283,1.026,1
2018-06-14 14:25:36.474,-0.012,0.284,0.941,1
2018-06-14 14:25:36.494,-0.027,0.326,0.981,1
2018-06-14 14:25:36.514,0.060,0.310,0.982,1
2018-06-14 14:25:36.535,-0.135,0.278,1.024,1
2018-06-14 14:25:36.555,-0.154,0.261,0.963,1
2018-06-14 14:25:36.574,-0.167,0.233,0.990,1
2018-06-14 14:25:36.595,-0.170,0.245,0.984,1
2018-06-14 14:25:36.615,-0.164,0.277,1.010,1
2018-06-14 14:25:36.635,-0.222,0.279,1.050,1
2018-06-14 14:25:36.654,-0.303,0.161,1.059,1
