HEADER_TIME_STAMP,SR
1970-01-03 13:20:19.973,101.000
1970-01-03 13:20:20.981,101.000
1970-01-03 13:20:21.988,101.000
1970-01-03 13:20:22.995,101.000
1970-01-03 13:20:24.003,101.000
1970-01-03 13:20:25.010,101.000
1970-01-03 13:20:26.018,101.000
1970-01-03 13:20:27.025,101.000
1970-01-03 13:20:28.033,101.000
1970-01-03 13:20:29.040,101.000
1970-01-03 13:20:30.048,101.000
1970-01-03 13:20:31.055,101.000
1970-01-03 13:20:32.063,101.000
1970-01-03 13:20:33.070,101.000
1970-01-03 13:20:34.078,101.000
1970-01-03 13:20:35.085,101.000
1970-01-03 13:20:36.092,101.000
1970-01-03 13:20:37.100,101.000
1970-01-03 13:20:38.108,101.000
1970-01-03 13:20:39.115,101.000
1970-01-03 13:20:40.123,101.000
1970-01-03 13:20:41.131,101.000
1970-01-03 13:20:42.138,101.000
1970-01-03 13:20:43.146,101.000
1970-01-03 13:20:44.154,101.000
1970-01-03 13:20:45.162,101.000
1970-01-03 13:20:46.169,101.000
1970-01-03 13:20:47.177,101.000
1970-01-03 13:20:48.185,101.000
1970-01-03 13:20:49.192,101.000
1970-01-03 13:20:50.200,101.000
1970-01-03 13:20:51.208,101.000
1970-01-03 13:20:52.215,101.000
1970-01-03 13:20:53.223,101.000
1970-01-03 13:20:54.231,101.000
1970-01-03 13:20:55.238,101.000
1970-01-03 13:20:56.246,101.000
1970-01-03 13:20:57.254,101.000
1970-01-03 13:20:58.262,101.000
1970-01-03 13:20:59.269,101.000
1970-01-03 13:21:00.277,101.000
1970-01-03 13:21:01.285,101.000
1970-01-03 13:21:02.293,101.000
1970-01-03 13:21:03.301,101.000
1970-01-03 13:21:04.308,101.000
1970-01-03 13:21:05.316,101.000
1970-01-03 13:21:06.324,101.000
1970-01-03 13:21:07.332,101.000
1970-01-03 13:21:08.340,101.000
1970-01-03 13:21:09.347,101.000
1970-01-03 13:21:10.355,101.000
1970-01-03 13:21:11.362,101.000
1970-01-03 13:21:12.370,101.000
1970-01-03 13:21:13.377,101.000
1970-01-03 13:21:14.385,101.000
1970-01-03 13:21:15.392,101.000
1970-01-03 13:21:16.400,101.000
1970-01-03 13:21:17.407,101.000
1970-01-03 13:21:18.414,101.000
1970-01-03 13:21:19.422,101.000
1970-01-03 13:21:20.429,101.000
1970-01-03 13:21:21.436,101.000
1970-01-03 13:21:22.444,101.000
1970-01-03 13:21:23.451,101.000
1970-01-03 13:21:24.459,101.000
1970-01-03 13:21:25.466,101.000
1970-01-03 13:21:26.474,101.000
1970-01-03 13:21:27.482,101.000
1970-01-03 13:21:28.489,101.000
1970-01-03 13:21:29.497,101.000
1970-01-03 13:21:30.504,101.000
1970-01-03 13:21:31.512,101.000
1970-01-03 13:21:32.519,101.000
1970-01-03 13:21:33.526,101.000
1970-01-03 13:21:34.534,101.000
1970-01-03 13:21:35.541,101.000
1970-01-03 13:21:36.549,101.000
1970-01-03 13:21:37.556,101.000
1970-01-03 13:21:38.564,101.000
1970-01-03 13:21:39.571,101.000
1970-01-03 13:21:40.579,101.000
1970-01-03 13:21:41.586,101.000
1970-01-03 13:21:42.594,101.000
1970-01-03 13:21:43.601,101.000
1970-01-03 13:21:44.609,101.000
1970-01-03 13:21:45.617,101.000
1970-01-03 13:21:46.624,101.000
1970-01-03 13:21:47.632,101.000
1970-01-03 13:21:48.639,101.000
1970-01-03 13:21:49.647,101.000
1970-01-03 13:21:50.655,101.000
1970-01-03 13:21:51.663,101.000
1970-01-03 13:21:52.670,101.000
1970-01-03 13:21:53.678,101.000
1970-01-03 13:21:54.685,101.000
1970-01-03 13:21:55.693,101.000
1970-01-03 13:21:56.701,101.000
1970-01-03 13:21:57.709,101.000
1970-01-03 13:21:58.717,101.000
1970-01-03 13:21:59.724,101.000
1970-01-03 13:22:00.732,101.000
