HEADER_TIME_STAMP,SR
2018-06-13 03:00:00.780,50.000
2018-06-13 03:00:01.787,50.000
2018-06-13 03:00:02.794,50.000
2018-06-13 03:00:03.801,50.000
2018-06-13 03:00:04.809,50.000
2018-06-13 03:00:05.816,50.000
2018-06-13 03:00:06.823,50.000
2018-06-13 03:00:07.830,50.000
2018-06-13 03:00:08.837,50.000
2018-06-13 03:00:09.844,50.000
2018-06-13 03:00:10.852,50.000
2018-06-13 03:00:11.859,50.000
2018-06-13 03:00:12.866,50.000
2018-06-13 03:00:13.873,50.000
2018-06-13 03:00:14.880,50.000
2018-06-13 03:00:15.888,50.000
2018-06-13 03:00:16.895,50.000
2018-06-13 03:00:17.902,50.000
2018-06-13 03:00:18.909,50.000
2018-06-13 03:00:19.916,50.000
2018-06-13 03:00:20.923,50.000
2018-06-13 03:00:21.931,50.000
2018-06-13 03:00:22.938,50.000
2018-06-13 03:00:23.945,50.000
2018-06-13 03:00:24.952,50.000
2018-06-13 03:00:25.959,50.000
2018-06-13 03:00:26.966,50.000
2018-06-13 03:00:27.974,50.000
2018-06-13 03:00:28.981,50.000
2018-06-13 03:00:29.988,50.000
2018-06-13 03:00:30.995,50.000
2018-06-13 03:00:32.002,50.000
2018-06-13 03:00:33.009,50.000
2018-06-13 03:00:34.016,50.000
2018-06-13 03:00:35.024,50.000
2018-06-13 03:00:36.031,50.000
2018-06-13 03:00:37.038,50.000
2018-06-13 03:00:38.045,50.000
2018-06-13 03:00:39.053,50.000
2018-06-13 03:00:40.060,50.000
2018-06-13 03:00:41.067,50.000
2018-06-13 03:00:42.074,50.000
2018-06-13 03:00:43.081,50.000
2018-06-13 03:00:44.088,50.000
2018-06-13 03:00:45.095,50.000
2018-06-13 03:00:46.103,50.000
2018-06-13 03:00:47.110,50.000
2018-06-13 03:00:48.117,50.000
2018-06-13 03:00:49.124,50.000
2018-06-13 03:00:50.131,50.000
2018-06-13 03:00:51.139,50.000
2018-06-13 03:00:52.146,50.000
2018-06-13 03:00:53.153,50.000
2018-06-13 03:00:54.160,50.000
2018-06-13 03:00:55.167,50.000
2018-06-13 03:00:56.174,50.000
2018-06-13 03:00:57.182,50.000
2018-06-13 03:00:58.189,50.000
2018-06-13 03:00:59.196,50.000
2018-06-13 03:01:00.203,50.000
2018-06-13 03:01:01.210,50.000
2018-06-13 03:01:02.217,50.000
2018-06-13 03:01:03.225,50.000
2018-06-13 03:01:04.232,50.000
2018-06-13 03:01:05.239,50.000
2018-06-13 03:01:06.246,50.000
2018-06-13 03:01:07.253,50.000
2018-06-13 03:01:08.261,50.000
2018-06-13 03:01:09.268,50.000
2018-06-13 03:01:10.275,50.000
2018-06-13 03:01:11.282,50.000
2018-06-13 03:01:12.289,50.000
2018-06-13 03:01:13.296,50.000
2018-06-13 03:01:14.304,50.000
2018-06-13 03:01:15.311,50.000
2018-06-13 03:01:16.318,50.000
2018-06-13 03:01:17.325,50.000
2018-06-13 03:01:18.332,50.000
2018-06-13 03:01:19.339,50.000
2018-06-13 03:01:20.347,50.000
2018-06-13 03:01:21.354,50.000
2018-06-13 03:01:22.361,50.000
2018-06-13 03:01:23.368,50.000
2018-06-13 03:01:24.375,50.000
2018-06-13 03:01:25.382,50.000
2018-06-13 03:01:26.390,50.000
2018-06-13 03:01:27.397,50.000
2018-06-13 03:01:28.404,50.000
2018-06-13 03:01:29.411,50.000
2018-06-13 03:01:30.418,50.000
2018-06-13 03:01:31.425,50.000
2018-06-13 03:01:32.433,50.000
2018-06-13 03:01:33.440,50.000
2018-06-13 03:01:34.447,50.000
2018-06-13 03:01:35.454,50.000
